0,1249.3600000046
0.5,1249.3623075
1,1249.364615
1.5,1249.3669225
2,1249.36923
2.5,1249.3904630817
3,1249.4033330016
3.5,1249.4034624012
4,1249.4035918008
4.5,1249.4037212003
5,1249.4037212003
5.5,1249.4037212003
6,1249.4037212003
6.5,1249.4037212003
7,1249.4037212003
7.5,1249.4137212003
8,1249.4137212003
8.5,1249.4137212003
9,1249.4137212003
9.5,1249.4137212003
10,1249.4237212003
10.5,1249.4437212003
11,1249.4437212003
11.5,1249.4437212003
12,1249.4437212003
12.5,1249.4437212003
13,1249.4437212003
13.5,1249.4437212003
14,1249.4437212003
14.5,1249.4437212003
15,1249.4902183707
15.5,1249.4902183707
16,1249.4902183707
16.5,1249.4902183707
17,1249.4902183707
17.5,1249.4902183707
18,1249.4902183707
18.5,1249.4902183707
19,1249.5001485016
19.5,1249.5001485016
20,1249.5001485016
20.5,1249.5001485016
21,1249.5001485016
21.5,1249.5201485016
22,1249.5201485016
22.5,1249.5201485016
23,1249.5201485016
23.5,1249.5201485016
24,1249.5201485016
24.5,1249.5201485016
25,1249.5201485016
25.5,1249.5366293172
26,1249.5366293172
26.5,1249.5366293172
27,1249.5366293172
27.5,1249.5366293172
28,1249.5366293172
28.5,1249.5675890048
29,1249.5675890048
29.5,1249.5675890048
30,1249.5675890048
30.5,1249.5675890048
31,1249.5675890048
31.5,1249.5675890048
32,1249.5675890048
32.5,1249.5675890048
33,1249.5675890048
33.5,1249.5675890048
34,1249.5875890048
34.5,1249.5875890048
35,1249.5875890048
35.5,1249.5875890048
36,1249.5875890048
36.5,1249.5875890048
37,1249.5875890048
37.5,1249.5875890048
38,1249.5875890048
38.5,1249.5875890048
39,1249.5875890048
39.5,1249.5875890048
40,1249.5875890048
40.5,1249.5875890048
41,1249.5875890048
41.5,1249.5875890048
42,1249.5875890048
42.5,1249.5875890048
43,1249.5875890048
43.5,1249.5875890048
44,1249.5875890048
44.5,1249.5995818334
45,1249.5861948736
45.5,1249.589177186
46,1249.6077756904
46.5,1249.6213323216
47,1249.6214617211
47.5,1249.6215911207
48,1249.6217205203
48.5,1249.6218499199
49,1249.6219793195
49.5,1249.6221087191
50,1249.6222381186
50.5,1249.6223675182
51,1249.6224969178
51.5,1249.6226263174
52,1249.622755717
52.5,1249.6228851166
53,1249.6230145162
53.5,1249.6231439157
54,1249.6232733153
54.5,1249.6234027149
55,1249.6235321145
55.5,1249.6236615141
56,1249.6237909137
56.5,1249.6239203133
57,1249.6240497128
57.5,1249.6420719891
58,1249.6420719891
58.5,1249.6420719891
59,1249.6420719891
59.5,1249.6420719891
60,1249.6420719891
60.5,1249.6420719891
61,1249.6420719891
61.5,1249.6420719891
62,1249.6420719891
62.5,1249.6420719891
63,1249.6420719891
63.5,1249.6420719891
64,1249.6420719891
64.5,1249.6420719891
